path,id,title,dataset,year,month,mime_type,size_bytes,sha256,sheet_count
INVENTARIO INSUMOS.xlsx,14BHghSF78PzgmztpLbDEZedZfk_lBv42,INVENTARIO INSUMOS.xlsx,inventario_insumos,,,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,21964,ada47fadc77d0595ed070699dcb0736d06784fa6438305f458e378c8ea8ad29a,1
INGRESOS 2026 DRIVE,1qynoVzgF5a5qMdTVXhfM35zQC4QCtVqh0MNaSHD2_aQ,INGRESOS 2026 DRIVE,ingresos_2026,2026,,application/vnd.google-apps.spreadsheet,142861,01d1c6d00daca6367371c66a9762f652c3dd4c7da3aab40363692b01ddf292ee,5
2023/PACIENTES 2023.docx,1qxXDDohR2_tIFn4bKRfvevkYyChSVsdP,PACIENTES 2023.docx,pacientes_docx,2023,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,19507,971b26692bbfaf149f6d57bad340309ca26823690554355026415cc727fa4ac9,
2023/PRESTACIONES ENFERMERIA/JULIO.xlsx,1ATVCG6kWiPQeYIcl09PERdla7Eqn5_bD,JULIO.xlsx,prestaciones_enfermeria,2023,7,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98719,8ba64d675fefb03a8b56d1d101158c0e58cd853bcbf44cbc1eeb17d97a7a2959,1
2023/PRESTACIONES ENFERMERIA/AGOSTO.xlsx,19Nm0_Em-Gbg9XNYwXuVfxOwyG57swSgw,AGOSTO.xlsx,prestaciones_enfermeria,2023,8,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98763,c7a23a41ad66490c0097ef7150c8ae49f0e1aac1fc3cd210094c48437daca437,1
2023/PRESTACIONES ENFERMERIA/SEPTIEMBRE.xlsx,1_ZCtEQW8ks_1C1EKhqpMN7bw5Tk_KvXl,SEPTIEMBRE.xlsx,prestaciones_enfermeria,2023,9,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,96649,50cb412d706e78c5528024098d3c9de50292461d05dd52af2d4fb3ceba7c7698,1
2023/PRESTACIONES ENFERMERIA/OCTUBRE.xlsx,1BGQSqyMvsQooPXEoHy30xojVRhHpp_B5,OCTUBRE.xlsx,prestaciones_enfermeria,2023,10,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98939,26159edb4c36abd2be24ecf2b583708ef5d70be5924612b4dbb1c17c950e834b,1
2023/PRESTACIONES ENFERMERIA/NOVIEMBRE.xlsx,1gE4-Rd7_tgG2E4AFXYxN4Gz49EJ1yO5t,NOVIEMBRE.xlsx,prestaciones_enfermeria,2023,11,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98169,4ec1deedc241209002d232f6eea0a265d4c8877d995cc8c4614da49c04e88095,1
2023/REM/REM JULIO.xlsx,1YqqaWrx5ktmOozPsPgow-Vj_n277pT8r,REM JULIO.xlsx,rem,2023,7,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,36558,e22da3588826511fe807558ee1399e281d73c35aff5a27a14b6039f2459cd8fa,2
2023/REM/REM AGOSTO .xlsx,16EhYHzj79ejkkcbv-U-2AkpqWWyyLozL,REM AGOSTO .xlsx,rem,2023,8,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,36577,e0f6ffa033ffe3a590124944bba2f385138251ab855ede3dfa7ab71da80777d7,2
2023/REM/REM SEPTIEMBRE.xlsx,1KLqIZst4Io8XPpCbjbMZoQ3CQQjWD_r2,REM SEPTIEMBRE.xlsx,rem,2023,9,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,36563,d3aab09a43e205d9ac580bd1854a60e045b6950c96fde8ba6fadca5e5d56d6a3,2
2023/REM/REM OCTUBRE.xlsx,1zJkabCxZf-tmcVh3QjCg8a8pVm3Enrbt,REM OCTUBRE.xlsx,rem,2023,10,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,36564,13c7a37d55e6b9449082712b00412d692a1008d35a5ad11b22b1655eb15c10f5,2
2023/REM/REM NOVIEMBRE.xlsx,1wx-I3In7JF4zsjst_e3lLi7jQ-ttQxno,REM NOVIEMBRE.xlsx,rem,2023,11,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,36580,1cd01a11cb0eac421cf647f356b6a9235630c3672140d9b4a145fa5acdbd77dd,2
2024/PRESTACIONES ENFERMERIA/ENERO.xlsx,17s1fuW2TxP_qVqPiD-mKwD2fLCswvCu5,ENERO.xlsx,prestaciones_enfermeria,2024,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98450,661ea16c0d5037c728327697568d5f3a02eee1771f748aa8b750dc3c69ec784f,1
2024/PRESTACIONES ENFERMERIA/FEBRERO.xlsx,1D2KUCdC-tIoUYgimmstzj-GelMyJWzXM,FEBRERO.xlsx,prestaciones_enfermeria,2024,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,93146,c8613254031e3068526d45d88740dfcce0085d25acee7753cd49c942866c681b,1
2024/PRESTACIONES ENFERMERIA/MARZO.xlsx,19JTaSuOnVn0OXKoFkVF5FNkM4_67anJX,MARZO.xlsx,prestaciones_enfermeria,2024,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98938,9167960cd26b2148f93ca6be44d5c10992f067044af954f22fd4224cb7897b56,1
2024/PRESTACIONES ENFERMERIA/ABRIL.xlsx,1-RdUr7XJbrv6IRegjl3usOYCzQqa3TbE,ABRIL.xlsx,prestaciones_enfermeria,2024,4,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,96889,86d9e4b9764e086497a39b43a785c351a7092ac17d3304caefac275ff05e6c9c,1
2024/PRESTACIONES ENFERMERIA/MAYO.xlsx,1ANBJfUklBw74Grs6Nja3QEbgr8n-ZcVJ,MAYO.xlsx,prestaciones_enfermeria,2024,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,96690,1cd26e6a4fe9933e317e4234b7cc94d081abf23b175e3ab6e5dccfd2726423c6,1
2024/PRESTACIONES ENFERMERIA/JUNIO.xlsx,1hrCPdomrUa7ay0HAMFfTzNnXxU9SC7yd,JUNIO.xlsx,prestaciones_enfermeria,2024,6,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98069,47fdf5b8c8e2dead13a8e66bb1b26ab3c1b6925fe01b3e8e735ef6c3d47031af,1
2024/PRESTACIONES ENFERMERIA/AGOSTO.xlsx,1ClJKiA3pdNe3wBtF829Po0bTFr1lIRx0,AGOSTO.xlsx,prestaciones_enfermeria,2024,8,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,100126,0c799f6fedfd2b15bb5b28b593d91bef6b6e44183dfe9ee7d8f36b424f54167e,1
2024/PRESTACIONES ENFERMERIA/SEPTIEMBRE .xlsx,1fhY2hZms5yUWLAyatFME-42krk22MMwd,SEPTIEMBRE .xlsx,prestaciones_enfermeria,2024,9,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,98022,e6a2d3bde1e2a3404de4fb457a5bd675d15a56cc6dbfc3e912fe8d7c5e28f703,1
