,"ESTADO","SEXO ","SERVICIOS","I. DE BARTHEL ","MOTIVO EGRESO",,"PREVISION","SECTORIZACIÓN","CESFAM","EV","CURACIONES",,"TOMA DE MUESTRA",,"INVASIVOS",,"CSV","KINE"
,,,"CAE",,,,,,,,,,,,,,,
,"ACTIVO",,"USAT","D. TOTAL","REHOSPITALIZACIÓN",,"FONASA A","URBANO","C. BALDECCHI","C/12","SIMPLE",,"SI",,"S. NASOGÁSTRICA",,"SI","MOTORA "
,"EGRESADO","F","UE","D. SEVERA","ALTA ",,"FONASA B","RURAL","C. DURÁN TRUJILLO","C/24","AVANZADAS",,"NO",,"S. FOLEY",,"NO","RESPIRATORIA"
,,"M","CMA/CMI","D. MODERADA","RECHAZA",,"FONASA C",,"C. SAN NICOLÁS","N/A","N/A",,"N/A",,"S. INTERMITENTE",,"N/A","AMBAS"
,,,"GINE","D. LEVE","TRASLADO A OTRO CENTRO",,"FONASA D",,"C. ÑIQUÉN",,,,,,"CVP",,,"N/A"
,,,"MED","INDEPENDIENTE","TRASLADO UE",,"FONASA",,"OTRO",,,,,,"N/A",,,
,,,"CX","N/A","TRASPASO APS",,"PRAIS",,,,,,,,,,,
,,,"TMT",,"FALLECIDO",,,,,,,,,,,,,
,,,"PED",,,,,,,,,,,,,,,
,,,"UTI",,,,,,,,,,,,,,,
,,,"OTRO",,,,,,,,,,,,,,,
