REGION;PROVINCIA;NOMBRE COMUNA;DISTRITO;LOCALIDAD;ENTIDAD;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";BUCALEMU;BUCALEMU;Parcela-Hijuela;278;139;139;24;37;170;47;0;8;"131";"0";"97";"131";"98";"127";"0";"0";"1";"1";"1";"1";"7";"41";"33";"4";"11";"1";"8";"0";"87";"0";"0";"2";"0";"87";"4";"2";"4";"0";"74";"20";"3";"74";"20";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";CHACAY;CHACAY;Parcela-Hijuela;17;8;9;Indeterminado;Indeterminado;13;Indeterminado;Indeterminado;0;"5";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"4";"1";"0";"5";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";CHACAY;CHACAY BAJO;Parcela-Hijuela;94;49;45;Indeterminado;Indeterminado;55;Indeterminado;Indeterminado;4;"53";"0";"36";"53";"36";"53";"0";"0";"0";"0";"0";"0";"2";"11";"11";"6";"3";"2";"2";"0";"32";"0";"0";"0";"0";"34";"1";"0";"0";"0";"23";"9";"2";"36";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";COLVINDO;COLVINDO;Parcela-Hijuela;248;132;116;Indeterminado;Indeterminado;159;49;Indeterminado;Indeterminado;"96";"0";"90";"96";"91";"88";"0";"0";"0";"6";"2";"0";"6";"42";"24";"10";"6";"1";"13";"0";"76";"0";"0";"0";"0";"68";"12";"2";"5";"0";"57";"29";"1";"76";"12";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";COLVINDO;LOS GUINDOS;Parcela-Hijuela;73;41;32;Indeterminado;Indeterminado;48;17;Indeterminado;Indeterminado;"32";"0";"29";"32";"29";"31";"0";"0";"0";"1";"0";"0";"4";"12";"7";"3";"2";"1";"3";"0";"25";"0";"0";"0";"0";"22";"4";"1";"1";"0";"18";"9";"1";"21";"8";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";HUENUTIL DE LA CABRERÍA;HUENUTIL ARRIBA;Parcela-Hijuela;105;54;51;6;11;71;17;Indeterminado;8;"53";"0";"39";"53";"39";"50";"0";"0";"0";"3";"0";"0";"3";"20";"11";"4";"1";"0";"2";"0";"37";"0";"0";"0";"0";"32";"0";"6";"0";"1";"28";"10";"1";"30";"9";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";LAS ROSAS;LO MELLADO;Parcela-Hijuela;105;56;49;9;11;59;26;Indeterminado;0;"57";"0";"41";"57";"41";"56";"0";"0";"1";"0";"0";"0";"5";"16";"8";"7";"5";"0";"5";"0";"34";"0";"0";"0";"2";"29";"1";"8";"3";"0";"22";"17";"2";"34";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";LAS ROSAS;LAS ROSAS;Caserío;303;154;149;26;28;202;47;Indeterminado;8;"127";"0";"106";"127";"108";"121";"0";"0";"0";"6";"0";"0";"7";"41";"41";"8";"6";"2";"4";"0";"100";"0";"0";"0";"0";"81";"9";"12";"3";"1";"69";"32";"2";"95";"9";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";PAQUE;PAQUE NORTE;Parcela-Hijuela;102;49;53;4;18;59;21;Indeterminado;5;"48";"0";"39";"48";"40";"45";"0";"0";"0";"3";"0";"0";"4";"11";"8";"15";"1";"0";"5";"0";"34";"0";"0";"0";"0";"17";"5";"14";"1";"1";"11";"26";"1";"26";"13";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";PAQUE;PAQUE SUR;Parcela-Hijuela;88;40;48;10;11;53;14;Indeterminado;5;"34";"0";"31";"34";"31";"30";"0";"0";"1";"3";"0";"0";"0";"7";"11";"5";"8";"0";"4";"0";"24";"0";"0";"3";"0";"20";"3";"5";"3";"0";"12";"16";"3";"22";"8";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"1";HUENUTIL;HUENUTIL DE LA CABRERÍA;Parcela-Hijuela;113;62;51;10;9;71;23;0;9;"44";"0";"40";"44";"40";"43";"0";"0";"0";"1";"0";"0";"0";"21";"11";"7";"1";"0";"0";"0";"40";"0";"0";"0";"0";"35";"1";"4";"0";"0";"29";"11";"0";"40";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";LAS GARZAS;LAS GARZAS;Parcela-Hijuela;0;0;0;0;0;0;0;0;0;"3";"0";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";SAN VICENTE;SAN VICENTE;Parcela-Hijuela;256;122;134;Indeterminado;33;152;Indeterminado;0;7;"98";"0";"88";"98";"90";"96";"0";"0";"0";"2";"0";"0";"4";"45";"27";"4";"5";"3";"9";"0";"79";"0";"0";"0";"0";"78";"6";"0";"2";"2";"68";"16";"4";"83";"5";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";SAN VICENTE;SAN VICENTE NORTE;Parcela-Hijuela;76;38;38;Indeterminado;Indeterminado;50;12;0;6;"34";"0";"25";"34";"25";"30";"0";"0";"0";"2";"0";"2";"6";"5";"10";"1";"2";"1";"0";"0";"25";"0";"0";"0";"0";"21";"2";"2";"0";"0";"19";"5";"1";"17";"8";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;EL PALO;Parcela-Hijuela;13;8;5;0;Indeterminado;8;Indeterminado;0;0;"5";"0";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"3";"0";"1";"0";"1";"3";"1";"1";"0";"3";"0";"2";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;SAN JOSÉ DE ZEMITA;Caserío;391;200;191;22;61;266;42;0;7;"132";"0";"123";"132";"125";"132";"0";"0";"0";"0";"0";"0";"5";"58";"43";"12";"2";"2";"8";"0";"113";"0";"0";"1";"0";"114";"3";"4";"1";"1";"102";"17";"3";"119";"1";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;ZEMITA;Parcela-Hijuela;18;10;8;Indeterminado;Indeterminado;12;Indeterminado;0;0;"9";"0";"6";"9";"6";"9";"0";"0";"0";"0";"0";"0";"1";"2";"1";"2";"0";"0";"1";"0";"5";"0";"0";"0";"0";"6";"0";"0";"0";"0";"4";"2";"0";"6";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;EL PEUMO;Parcela-Hijuela;11;6;5;Indeterminado;Indeterminado;6;Indeterminado;0;Indeterminado;"4";"0";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"3";"0";"0";"1";"0";"3";"1";"0";"0";"4";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;EL NEVADO DE ZEMITA;Caserío;54;28;26;Indeterminado;Indeterminado;40;7;0;0;"20";"0";"19";"20";"19";"20";"0";"0";"0";"0";"0";"0";"1";"8";"9";"1";"0";"0";"1";"0";"18";"0";"0";"0";"0";"19";"0";"0";"0";"0";"18";"1";"0";"14";"5";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;LA ESPERANZA;Caserío;94;53;41;Indeterminado;18;67;Indeterminado;0;0;"29";"0";"29";"29";"29";"29";"0";"0";"0";"0";"0";"0";"3";"17";"3";"4";"1";"1";"1";"0";"26";"0";"0";"2";"0";"25";"1";"2";"1";"0";"20";"6";"3";"29";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";ZEMITA;LOS ROBLES;Parcela-Hijuela;17;9;8;0;0;Indeterminado;Indeterminado;0;0;"6";"0";"5";"6";"5";"6";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0";"3";"2";"0";"0";"4";"0";"1";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";SAN FERNANDO;SAN FERNANDO;Parcela-Hijuela;164;73;91;18;20;110;16;0;Indeterminado;"63";"0";"51";"63";"51";"63";"0";"0";"0";"0";"0";"0";"0";"30";"15";"5";"0";"1";"0";"0";"51";"0";"0";"0";"0";"49";"0";"1";"1";"0";"44";"6";"1";"47";"4";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";CANCHIUQUE;CANCHUIQUE;Parcela-Hijuela;117;52;65;11;18;66;22;0;Indeterminado;"49";"0";"40";"49";"40";"47";"0";"0";"0";"2";"0";"0";"0";"11";"25";"2";"2";"0";"3";"0";"37";"0";"0";"0";"0";"28";"7";"1";"2";"2";"24";"14";"2";"17";"20";"3";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"2";LA PITRILLA;LA PITRILLA;Parcela-Hijuela;203;102;101;15;23;136;29;0;Indeterminado;"74";"0";"65";"74";"66";"71";"0";"0";"0";"3";"0";"0";"2";"31";"20";"8";"2";"2";"3";"0";"62";"0";"0";"0";"0";"54";"2";"5";"3";"1";"45";"18";"2";"58";"6";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";SAN ROQUE;SAN ROQUE;Caserío;72;40;32;Indeterminado;Indeterminado;47;Indeterminado;Indeterminado;0;"31";"0";"28";"31";"28";"30";"0";"0";"0";"1";"0";"0";"0";"14";"7";"6";"1";"0";"1";"0";"27";"0";"0";"0";"0";"27";"1";"0";"0";"0";"21";"7";"0";"25";"3";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";SAN ROQUE;EL RINCÓN CHICO;Parcela-Hijuela;27;14;13;Indeterminado;Indeterminado;19;Indeterminado;Indeterminado;0;"13";"0";"8";"13";"8";"13";"0";"0";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"8";"0";"0";"0";"0";"8";"0";"0";"7";"1";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";BULI;BULI;Parcela-Hijuela;155;74;81;7;15;97;36;Indeterminado;Indeterminado;"74";"0";"58";"74";"58";"70";"0";"0";"0";"1";"0";"3";"4";"34";"13";"4";"3";"0";"8";"0";"50";"0";"0";"0";"0";"50";"4";"2";"1";"1";"45";"12";"1";"55";"3";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";EL MODELO DE COLLIGUAY;EL MODELO;Parcela-Hijuela;111;56;55;10;20;66;15;0;8;"51";"0";"46";"51";"46";"50";"0";"0";"0";"1";"0";"0";"1";"19";"19";"4";"1";"2";"3";"0";"42";"0";"0";"0";"0";"42";"2";"1";"1";"0";"38";"5";"2";"43";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";EL RINCÓN;EL RINCÓN GRANDE;Caserío;102;59;43;Indeterminado;Indeterminado;59;28;0;Indeterminado;"44";"0";"37";"44";"37";"43";"0";"0";"0";"1";"0";"0";"4";"19";"8";"3";"3";"0";"2";"0";"35";"0";"0";"0";"0";"31";"1";"3";"2";"0";"27";"10";"0";"35";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LA GLORIA;LAS TORRES;Parcela-Hijuela;71;38;33;Indeterminado;10;Indeterminado;9;0;8;"33";"0";"25";"33";"25";"33";"0";"0";"0";"0";"0";"0";"0";"14";"4";"3";"4";"0";"1";"0";"23";"0";"0";"0";"0";"14";"1";"8";"2";"0";"9";"15";"0";"0";"25";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LA GLORIA;PASO PIEDRA;Caserío;65;Indeterminado;Indeterminado;Indeterminado;Indeterminado;40;11;0;Indeterminado;"25";"0";"22";"25";"22";"24";"0";"0";"0";"1";"0";"0";"4";"10";"7";"1";"0";"0";"0";"4";"17";"0";"0";"0";"0";"12";"1";"6";"0";"2";"11";"8";"2";"9";"11";"2";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LA GLORIA;LA GLORIA ABAJO;Parcela-Hijuela;339;171;168;29;45;204;61;Indeterminado;8;"136";"0";"114";"136";"117";"128";"0";"0";"0";"7";"1";"0";"2";"82";"18";"10";"1";"1";"12";"0";"102";"0";"0";"0";"0";"92";"11";"3";"8";"0";"84";"29";"1";"24";"88";"2";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LA GLORIA;LA GLORIA ARRIBA;Caserío;231;112;119;17;31;137;46;Indeterminado;6;"96";"0";"79";"96";"79";"90";"0";"0";"1";"5";"0";"0";"8";"42";"20";"5";"3";"0";"2";"0";"74";"1";"0";"0";"0";"69";"5";"2";"0";"2";"61";"14";"2";"69";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LAS MIRAS;LAS MIRAS;Parcela-Hijuela;275;134;141;10;43;166;56;0;Indeterminado;"121";"0";"97";"121";"97";"118";"0";"0";"1";"2";"0";"0";"10";"51";"24";"6";"6";"0";"14";"0";"83";"0";"0";"0";"0";"76";"5";"2";"9";"5";"71";"21";"5";"92";"4";"0";"1";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";CHACAY;CHACAY BAJO;Parcela-Hijuela;34;19;15;Indeterminado;5;25;Indeterminado;0;0;"12";"0";"12";"12";"12";"12";"0";"0";"0";"0";"0";"0";"0";"7";"3";"2";"0";"0";"0";"0";"12";"0";"0";"0";"0";"8";"3";"1";"0";"0";"7";"5";"0";"12";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";CHACAY;LOS INDIOS;Parcela-Hijuela;194;94;100;Indeterminado;24;123;Indeterminado;0;7;"72";"0";"66";"72";"66";"70";"0";"0";"0";"2";"0";"0";"8";"31";"16";"7";"4";"0";"4";"0";"62";"0";"0";"0";"0";"59";"1";"2";"3";"1";"51";"14";"1";"61";"4";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LLAHUIMÁVIDA;LLAHUIMÁVIDA;Parcela-Hijuela;48;27;21;Indeterminado;Indeterminado;33;8;0;0;"22";"0";"20";"22";"20";"21";"0";"0";"0";"1";"0";"0";"3";"5";"10";"1";"1";"0";"1";"0";"19";"0";"0";"0";"0";"13";"5";"0";"1";"1";"12";"7";"1";"0";"19";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";EL EMBALSE;EL EMBALSE;Caserío;129;63;66;Indeterminado;Indeterminado;87;22;0;0;"68";"0";"47";"68";"47";"67";"0";"0";"0";"1";"0";"0";"1";"3";"41";"1";"1";"0";"1";"0";"46";"0";"0";"0";"0";"39";"5";"1";"2";"0";"37";"10";"0";"45";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";PERQUINCO;CAMINO A SAN MIGUEL;Parcela-Hijuela;136;63;73;Indeterminado;21;90;Indeterminado;0;Indeterminado;"48";"0";"42";"48";"42";"48";"0";"0";"0";"0";"0";"0";"2";"9";"22";"9";"0";"0";"5";"0";"37";"0";"0";"0";"0";"38";"2";"1";"1";"0";"30";"12";"0";"37";"5";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";PERQUINCO;LA ESCOBA;Parcela-Hijuela;32;18;14;Indeterminado;5;22;Indeterminado;0;Indeterminado;"11";"0";"11";"11";"11";"10";"0";"0";"0";"1";"0";"0";"0";"1";"7";"3";"0";"0";"0";"0";"11";"0";"0";"0";"0";"11";"0";"0";"0";"0";"8";"3";"0";"0";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";LA FLECHA;LA FLECHA;Caserío;136;73;63;6;19;84;27;Indeterminado;Indeterminado;"55";"0";"51";"55";"51";"55";"0";"0";"0";"0";"0";"0";"0";"11";"33";"6";"1";"0";"2";"0";"49";"0";"0";"0";"0";"45";"1";"5";"0";"0";"38";"13";"0";"48";"1";"0";"1";;
