month,metric,observed,expected,ratio,gap_flag
2023-11,ingresos,1,,,False
2023-12,ingresos,6,1.00,6.00,False
2024-01,ingresos,58,3.50,16.57,False
2024-02,ingresos,56,21.67,2.58,False
2024-03,ingresos,66,30.25,2.18,False
2024-04,ingresos,71,37.40,1.90,False
2024-05,ingresos,96,43.00,2.23,False
2024-06,ingresos,87,58.83,1.48,False
2024-07,ingresos,81,72.33,1.12,False
2024-08,ingresos,81,76.17,1.06,False
2024-09,ingresos,72,80.33,0.90,False
2024-10,ingresos,71,81.33,0.87,False
2024-11,ingresos,51,81.33,0.63,True
2024-12,ingresos,46,73.83,0.62,True
2025-01,ingresos,52,67.00,0.78,False
2025-02,ingresos,49,62.17,0.79,False
2025-03,ingresos,54,56.83,0.95,False
2025-04,ingresos,54,53.83,1.00,False
2025-05,ingresos,58,51.00,1.14,False
2025-06,ingresos,54,52.17,1.04,False
2025-07,ingresos,54,53.50,1.01,False
2025-08,ingresos,62,53.83,1.15,False
2025-09,ingresos,56,56.00,1.00,False
2025-10,ingresos,56,56.33,0.99,False
2025-11,ingresos,40,56.67,0.71,False
2025-12,ingresos,49,53.67,0.91,False
2026-01,ingresos,48,52.83,0.91,False
2026-02,ingresos,45,51.83,0.87,False
2026-03,ingresos,46,49.00,0.94,False
2026-06,ingresos,2,47.33,0.04,True
