establishment_id,codigo_deis,servicio_salud,tipo_establecimiento,dependencia,nombre_oficial,comuna,via,numero,direccion,region,source_url,fetched_at
est_1015d2609339dacc,117301,Ñuble,Consultorio General Urbano,Servicio de Salud,Centro de Salud Familiar Violeta Parra,CHILLÁN,Calle,150 Francisco Ramírez,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_90f0441ee43a5af0,117302,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar San Ramón Nonato,CHILLÁN,Calle,S/N,Colo Colo,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_dfa5a02841815c4e,117303,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Ultraestación Dr. Raúl San Martín González,CHILLÁN,Calle,S/N,Ruiz de Gamboa,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_e7943264431355c7,117304,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Isabel Riquelme,CHILLÁN,Calle,1661 O'Higgins,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_92c698d01303a291,117305,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Portezuelo,PORTEZUELO,Calle,150 San Martín,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_a0c8b8b02157138f,117306,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Quillón,QUILLÓN,Calle,159 Francisco Unzueta,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_ed5dfbae33da6d0c,117307,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Cobquecura,COBQUECURA,Calle,473 Chacabuco,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_3fce76a075a526ca,117308,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar San Ignacio,SAN IGNACIO,Calle,S/N,M.J. Ortiz,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_d9f9c6839077c0b1,117309,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar San Fabián,SAN FABIAN,Calle,S/N,21 de Mayo,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_3e320c3e3556eccd,117310,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Pemuco,PEMUCO,Calle,1086 Padre Jorge Herrera,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_4a50d9e625a5c238,117311,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Dr. José Duran Trujillo,SAN CARLOS,Calle,470 Las Acacias,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_f0a60ee7272ef18f,117312,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar San Nicolás,SAN NICOLAS,Calle,S/N,Arturo Prat,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_fb7015e64870d8ac,117313,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Ñiquén,NIQUEN,Calle,S/N,Semíramis Caro,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_086461d59e37f5aa,117314,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Dr. David Benavente de Ninhue,NINHUE,Calle,405 Arturo Prat,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_26e34b125b9110d7,117315,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Campanario,YUNGAY,Calle,S/N,Argentina,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_ff98d84e1ce6d4ea,117316,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Ñipas,RÁNQUIL,Calle,392 Pedro Aguirre Cerda,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_c92092ebeee7c7e3,117317,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Pinto,PINTO,Calle,S/N,Ernesto Riquelme,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_c3a7db3128097a9f,117318,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Coihueco,COIHUECO,Calle,683 Prat,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_51e06b4a926675cd,117319,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Quiriquina,SAN IGNACIO,Calle,S/N,Central Quiriquina,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_e0a6521a3aac3bbe,117322,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Quinchamalí,CHILLÁN,Calle,S/N,Principal,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_af601fb9fd3e3d6b,117324,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Los Volcanes,CHILLÁN,Calle,155 Los Cóndores,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_72544f9766cc1e1a,117325,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Luis Montecinos,COIHUECO,Calle,631 18 de Septiembre,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_6efe4541285bc139,117326,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Santa Clara,BULNES,Calle,S/N,Las Rosas,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_bd2104bf43464303,117327,Ñuble,Consultorio General Rural,Municipal,Centro de Salud Familiar Treguaco,TREGUACO,Calle,286 Luis Lama,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_dbfc0d2585da3c52,117328,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Dr. Federico Puga,CHILLÁN VIEJO,Calle,872 Erasmo Escala,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_afb315ffeb72b6e0,117329,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Teresa Baldechi,SAN CARLOS,Calle,S/N,Arturo Prat,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_f8516aaafa6d96f0,117330,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Sol de Oriente,CHILLÁN,Avenida,S/N,Nueva Oriente,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_7c0322d353d83ff9,117331,Ñuble,Consultorio General Urbano Municipal,,Centro de Salud Familiar Dra. Michelle Bachelet Jeria,CHILLÁN VIEJO,Calle,1201 Huambalí,,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_1ce8bfec35764696,117401,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Talquipén,COIHUECO,Calle,S/N,Aldea de Talquipén,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_4e46eb4fb4090325,117403,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Bustamante,COIHUECO,Calle,S/N,Aldea de Bustamante,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_ed08f5463a670f89,117405,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Capilla Cato,CHILLÁN,Calle,S/N,Sector Capilla Cato,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_f8dc580fb1df3537,117406,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Minas del Prado,COIHUECO,Calle,S/N,Aldea Minas del Prado,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_12ff6008dfc96a34,117407,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Tanilvoro,COIHUECO,Calle,S/N,Aldea de Tanilvoro,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_69d14067a7916075,117409,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Recinto,PINTO,Calle,S/N,Pueblo Recinto - Los Lleuques,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
