locality_alias_id,locality_id,alias,source_url
lca_1e09eb16f8410251,loc_076ff65a17c22c92,Aldea de Talquipén,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_0c73eb599eeb8f07,loc_b36ef264ece657ff,Aldea de Bustamante,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_61890766ec87533f,loc_42fe218736ad6cdc,Sector Capilla Cato,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_0708ca6e98179972,loc_913d5ebd04e8785b,Aldea Minas del Prado,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_3e462f3df51318a8,loc_e767b4f9c8ac3cf2,Aldea de Tanilvoro,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_cd78b7f46c316308,loc_2a73a6d143bc04fa,Pueblo Recinto - Los Lleuques,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_614aa7b4f93a9455,loc_6a2496b035ad5c33,Sector Huape,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_a109de8152dd7471,loc_0f81a742ceb23c6e,Aldea de Rivera Ñuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_8930093c9463d82c,loc_c7f16ebaab8e96e6,Aldea Chacay,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_77539fe00145f22a,loc_2d675291a44e9928,Aldea Ñiquén,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_873bb5f8ab8482df,loc_103f37677ac2431d,Sector Torrecillas,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_f324afea2d966fe8,loc_2ea7ac6ab8690ae7,Sector La Gloria,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_eb45b5bd754ab15e,loc_b89d7d257f81175a,Aldea Monte Blanco,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_4b4f08da12063d80,loc_0c73a6b0d8470c26,Caserío Nueva Aldea,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_bc86f4336cdd9239,loc_1fe6d0967ed7a65f,Sector Cartago,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_5bfe571728a67594,loc_56588c7aac225031,Aldea General Cruz,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_a58eff43ad37ff50,loc_c57bd84bccf973ff,Sector El Sauce,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_5ae967fe9e0c244b,loc_f9360774c0ae1f82,Sector Los Remates,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_667c1989ad215b47,loc_f6e17be84ca7190a,Sector Trehualemu,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_b9fef328c0e0c512,loc_d2f0002eb45190d8,Sector San Vicente,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_2fccbfed8c53d8b8,loc_5c9c5d2edefc78a0,Sector Huemul,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_dcd04d9b7748dcd2,loc_7894c56bfd3689e8,Aldea de Ranguelmo,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_35e27a6bcb194121,loc_4e6bac26a9fedeb3,Aldea de Guarilihue Bajo,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_0ff4737b14cfd6f8,loc_8dcfa59f7f716200,Sector Boca Itata,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_4599e9d8fa41c6e7,loc_d3caf6e81209ca30,Aldea de Vegas de Itata,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_38c2275ed26e4ed1,loc_fdad4a29604e2f91,Sector Minas de Leuque,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_c69de257c092032d,loc_07463881cec6619d,Sector Cucha Cox,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_c1038d89ce73c3f7,loc_f6b54bbf0a9eede1,Sector Liucura Alto,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_0a6d7f8eb903f2f7,loc_19610ab6e564251c,Aldea Coyanco,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_bf0ba98665c7afbe,loc_af1fb1333d0e0993,Sector Casino,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_644974335a970f1f,loc_8d339d13063a9134,Pueblo Seco,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_3ff0154e8ce81f9a,loc_0f010f47f42eaf57,Sector Capilla Norte,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_aff3562e94c1a9c7,loc_0f051e91ebff110b,Sector San Antonio,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_afd6ced977d0cd42,loc_be061822022e73e7,Sector Capellanía,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_efb047d821f2dba5,loc_19bb4543a26e5b32,Sector Toquihua,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_da8a9bd28c63fa91,loc_5ea241d12c578210,Sector El Caracol,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_6b87c513e98fba67,loc_9f9a3c0e424aa75b,Sector Belén,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_eec7cb8f64a04cc1,loc_cd2383578856d58d,Sector Ciruelito,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_ea7669e6bdc32413,loc_c62dfade6d88ebb9,Sector Trabuncura,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_5017f682281e3e59,loc_aef8a040c103f852,Pueblo de Puente Ñuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_29232e75bb115523,loc_7cb05567b59d296a,Sector Chancal,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_6562c7263443abef,loc_47a4118a9ec13ce2,Sector Capilla Sur,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
lca_d7a3e20ba0ab6b3b,loc_995f0aa9ce3923bb,Sector Agua Santa,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf
