locality_id,nombre_oficial,comuna,provincia,region,territory_type,latitud,longitud,crs,source_url,source_priority,fetched_at
loc_e5377caf99099434,CHILLÁN,CHILLÁN,DIGUILLÍN,Nuble,URBANO,-36.586726,-72.109961,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_05f1eb7207712530,PORTEZUELO,PORTEZUELO,,Nuble,URBANO,,,EPSG:4326,https://regiones.ine.gob.cl/nuble/prensa/ine-publica-bases-de-datos-a-nivel-de-manzana-y-cartografia-del-censo-de-poblacion-y-vivienda-2024,official_page,2026-04-02T02:36:27
loc_1aae1d7f820e1dd1,QUILLÓN,QUILLÓN,DIGUILLÍN,Nuble,URBANO,-36.736742,-72.483988,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_d344db6b99e70eaa,COBQUECURA,COBQUECURA,ITATA,Nuble,URBANO,-36.123459,-72.802599,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_a3e275b5c9b2e3f2,SAN IGNACIO,SAN IGNACIO,DIGUILLÍN,Nuble,URBANO,-36.786304,-72.088974,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_89d39524743f32bc,SAN FABIAN,SAN FABIAN,PUNILLA,Nuble,URBANO,-36.555691,-71.526330,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_bd2ed166b4fa4039,PEMUCO,PEMUCO,,Nuble,URBANO,,,EPSG:4326,https://regiones.ine.gob.cl/nuble/prensa/ine-publica-bases-de-datos-a-nivel-de-manzana-y-cartografia-del-censo-de-poblacion-y-vivienda-2024,official_page,2026-04-02T02:36:27
loc_5ef7a9d41fb260f7,SAN CARLOS,SAN CARLOS,PUNILLA,Nuble,URBANO,-36.434783,-71.951297,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_5ebd3a932065fa50,SAN NICOLAS,SAN NICOLAS,Punilla,Nuble,URBANO,,,EPSG:4326,https://regiones.ine.gob.cl/nuble/prensa/ine-publica-bases-de-datos-a-nivel-de-manzana-y-cartografia-del-censo-de-poblacion-y-vivienda-2024,official_page,2026-04-02T02:36:27
loc_2d675291a44e9928,NIQUEN,NIQUEN,PUNILLA,Nuble,URBANO,-36.283364,-71.904931,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
loc_a0087a53d136dcd1,NINHUE,NINHUE,Punilla,Nuble,URBANO,,,EPSG:4326,https://regiones.ine.gob.cl/nuble/prensa/ine-publica-bases-de-datos-a-nivel-de-manzana-y-cartografia-del-censo-de-poblacion-y-vivienda-2024,official_page,2026-04-02T02:36:27
loc_bab61a63caf3e98e,YUNGAY,YUNGAY,DIGUILLÍN,Nuble,URBANO,-37.111218,-72.020123,EPSG:4674,/Users/felixsanhueza/Downloads/Cartografía_censo2024_R16.gdb,official_gdb,2026-04-02T02:36:27
